sub,rating,iat_original,iat
"geo:46.8532884,9.532565?q=Otello&u=30",75.0,1635602402,2021-10-30 14:00:02
"geo:46.9470165,7.437509?q=Starbucks&u=30",75.0,1634912480,2021-10-22 14:21:20
"geo:46.8480544,9.530575?q=Gasthaus Gansplatz&u=30",100.0,1634912361,2021-10-22 14:19:21
"geo:46.8532884,9.532565?q=Otello&u=30",100.0,1634910000,2021-10-22 13:40:00
"geo:37.0078257,-8.9425252?q=Laundry Lounge Sagres&u=30",100.0,1634909797,2021-10-22 13:36:37
"geo:37.0078257,-8.9425252?q=Laundry Lounge Sagres&u=30",100.0,1634809383,2021-10-21 09:43:03
"geo:48.78360465,44.7889785?u=50&q=sportpitch",100.0,1633972554,2021-10-11 17:15:54
"geo:48.7841623,44.7865927?u=50&q=sportpitch",100.0,1633971951,2021-10-11 17:05:51
"geo:48.785539,44.7875503?u=50&q=playground",100.0,1633971755,2021-10-11 17:02:35
"geo:48.77543816558929,44.7589123249054?u=50&q=playground",80.0,1633964057,2021-10-11 14:54:17
"geo:48.78446982883077,44.78593289852143?u=50&q=sportpitch",80.0,1633963714,2021-10-11 14:48:34
"geo:48.777037825151616,44.768058657646186?u=50&q=playground",80.0,1633963002,2021-10-11 14:36:42
"geo:48.78553902774804,44.787550270557404?u=50&q=playground",80.0,1633962669,2021-10-11 14:31:09
"geo:48.7788177,44.7839856?u=50&q=sportpitch",80.0,1633962529,2021-10-11 14:28:49
"geo:48.7805335,44.7941529?u=50&q=playground",80.0,1633962495,2021-10-11 14:28:15
"geo:48.78360465,44.7889785?u=50&q=sportpitch",80.0,1633962288,2021-10-11 14:24:48
"geo:48.7841623,44.7865927?u=50&q=sportpitch",100.0,1633962266,2021-10-11 14:24:26
"geo:48.77395335,44.80919325?u=50&q=sportpitch",100.0,1633962209,2021-10-11 14:23:29
"geo:48.776131649999996,44.76433335?u=50&q=playground",80.0,1633962118,2021-10-11 14:21:58
"geo:37.0078257,-8.9425252?q=Laundry Lounge Sagres&u=30",75.0,1633868818,2021-10-10 12:26:58
"geo:39.97597545,-74.24284335?u=50&q=Matt%20Blatt%20Kia%20of%20Toms%20River",20.0,1628825958,2021-08-13 03:39:18
"geo:44.8209414,20.4569453?u=50&q=Pasteli%20Cake%20Shop",100.0,1628502330,2021-08-09 09:45:30
"geo:45.4102079,4.5794933?u=50&q=Rochers%20de%20la%20Sordi%C3%A8re",80.0,1627895965,2021-08-02 09:19:25
"geo:43.4982658,-8.2450147?q=Nuevo Rumbo&u=30",100.0,1627234815,2021-07-25 17:40:15
"geo:42.9124431,-8.7358186?q=Pizzería Milio&u=30",100.0,1627232422,2021-07-25 17:00:22
"geo:45.5697484,11.9774792?q=Rizzo Abbigliamento&u=30",100.0,1626188562,2021-07-13 15:02:42
"geo:39.96593065,-74.20531445?u=50&q=Shoprite",100.0,1625773069,2021-07-08 19:37:49
"geo:41.27093502177152,-7.6744642041057896?u=50&q=ahoxus",100.0,1625379960,2021-07-04 06:26:00
"geo:30.09509695,-90.43635883183157?q=Cajun Pride Swamp Tours&u=30",100.0,1624977061,2021-06-29 14:31:01
"geo:58.3500847,11.9368705?q=RÅG&u=30",75.0,1622728000,2021-06-03 13:46:40
"geo:58.3285722,11.9032573?q=Hälsokällan&u=30",75.0,1622712548,2021-06-03 09:29:08
"geo:58.3404318,11.9709882?q=Vindskyddet - Källsvattnet&u=30",100.0,1622707972,2021-06-03 08:12:52
"geo:42.6795374,23.3210091?u=50&q=playground",60.0,1621953249,2021-05-25 14:34:09
"geo:51.12703915,15.610203349999999?u=50&q=Piaskowcowe%20%C5%9Aciany",100.0,1620333790,2021-05-06 20:43:10
"geo:39.9323304,-74.07727?u=50&q=7-Eleven",100.0,1620247512,2021-05-05 20:45:12
"geo:6.9973602,81.0577337?q=Hotel Mariot&u=30",100.0,1618426290,2021-04-14 18:51:30
"geo:46.8532884,9.532565?q=Otello&u=30",75.0,1618061049,2021-04-10 13:24:09
"geo:53.6188781,9.6857171?q=Holmer Sandberge&u=30",100.0,1617561750,2021-04-04 18:42:30
"geo:53.5517883,10.0009813?q=Prego&u=30",100.0,1617561481,2021-04-04 18:38:01
"geo:53.731224,9.9033409?q=Caesar Cut&u=30",100.0,1617561343,2021-04-04 18:35:43
"geo:53.7313989,9.8992692?q=Foto Unger&u=30",100.0,1617561174,2021-04-04 18:32:54
"geo:42.4589465,14.2229986?q=Pooka&u=30",100.0,1615472234,2021-03-11 14:17:14
"geo:42.4604048,14.2311219?q=Al Tiramisú&u=30",100.0,1615471966,2021-03-11 14:12:46
"geo:-34.0378415,18.3474077?q=Pondicherry&u=30",50.0,1614087065,2021-02-23 13:31:05
"geo:51.02401373823834,4.493126571178437?u=50&q=Klimkaffee",80.0,1614027338,2021-02-22 20:55:38
"geo:10.91564885,79.80694879844232?q=undefined&u=30",25.0,1613101791,2021-02-12 03:49:51
"geo:51.0535894,3.7004163?u=50&q=Carrefour%20Market",80.0,1611619353,2021-01-26 00:02:33
"geo:52.2317641,21.005799675616117?q=Pałac Kultury&u=30",60.0,1611609252,2021-01-25 21:14:12
"geo:52.2317641,21.005799675616117?q=Pałac Kultury&u=30",60.0,1611590157,2021-01-25 15:55:57
"geo:-16.5252003,-68.1551733?u=50&q=Bazar%20Librer%C3%ADa%20Andre%20-%20Fotocopias",100.0,1611002550,2021-01-18 20:42:30
"geo:52.2165398,21.0174662?q=Śródmieście&u=30",100.0,1610376141,2021-01-11 14:42:21
"geo:47.29493565,11.51422715?u=50&q=MPREIS",100.0,1607715008,2020-12-11 19:30:08
"geo:47.1850241,8.5178011?u=50&q=Lidl",80.0,1607697530,2020-12-11 14:38:50
"geo:51.21576,3.22000?q=Pietervdvn Software Consultancy&u=15",100.0,1607290918,2020-12-06 21:41:58
"geo:51.21576,3.22000?q=Pietervdvn Software Consultancy&u=15",100.0,1607290898,2020-12-06 21:41:38
"geo:3.22000,51.21576?q=Pietervdvn Software Consultancy&u=15",75.0,1607290772,2020-12-06 21:39:32
"geo:48.0511,10.8757?q=Pietervdvn Software Consultancy&u=15",75.0,1607290737,2020-12-06 21:38:57
"geo:48.0511,10.8757?q=Hexenturm&u=30",75.0,1607290722,2020-12-06 21:38:42
"geo:47.74004875,13.444367195088567?q=Hotel Cortisen am See&u=30",100.0,1604927016,2020-11-09 13:03:36
"geo:47.4718021,8.4156202?q=Burgstelle Boppensol&u=30",25.0,1604847000,2020-11-08 14:50:00
"geo:46.58674645,13.928256600000001?q=Apartments am See Domenig&u=30",100.0,1603087056,2020-10-19 05:57:36
"geo:10.4434769,-3.1266648?q=Hello&u=30",100.0,1601843492,2020-10-04 20:31:32
"geo:49.1187987,-122.8899872?q=Pepperoni Cafe&u=30",75.0,1599626733,2020-09-09 04:45:33
"geo:41.2989902,-7.7509509?q=Restaurante Golden Wok&u=30",100.0,1598396500,2020-08-25 23:01:40
"geo:47.5605517,10.2166885?q=Freilich Unverpackt&u=30",100.0,1597734386,2020-08-18 07:06:26
"geo:47.3615349,8.5151166?q=piqyourdress Showroom Zurich&u=30",100.0,1596722907,2020-08-06 14:08:27
"geo:47.3762816,8.5386097?q=roots&u=30",100.0,1596191127,2020-07-31 10:25:27
"geo:50.124021,8.6406251?q=Lhamo Bistro&u=30",100.0,1594846896,2020-07-15 21:01:36
"geo:50.123935450000005,8.655478006555516?q=Palmengarten&u=30",100.0,1594846660,2020-07-15 20:57:40
"geo:50.1234938,8.6376816?q=Pizzeria Uno&u=30",75.0,1594846457,2020-07-15 20:54:17
"geo:50.135592,8.60182229208942?q=Metro&u=30",75.0,1594846276,2020-07-15 20:51:16
"geo:50.1242066,8.6362257?q=Hackquarter Chaos Computer Club Frankfurt e.V.&u=30",100.0,1594846013,2020-07-15 20:46:53
"geo:52.0847502,4.2993952?q=Hortus&u=30",100.0,1594845300,2020-07-15 20:35:00
"geo:52.3572677,4.8916152?q=Vegan Junk Food Bar&u=30",100.0,1594844995,2020-07-15 20:29:55
"geo:50.1281619,8.6087774?q=Frag Henri&u=30",100.0,1594844658,2020-07-15 20:24:18
"geo:50.4833762,-3.7689843?q=South Devon Railway&u=30",75.0,1593881747,2020-07-04 16:55:47
"geo:47.4625581,8.1806714?q=Habsburg&u=30",100.0,1593266687,2020-06-27 14:04:47
"geo:51.2085526,3.226772?q=Bruges&u=30",75.0,1590757437,2020-05-29 13:03:57
"geo:47.1725513,8.5181721?q=Cha Cha Thai&u=30",25.0,1590150350,2020-05-22 12:25:50
"geo:47.0499734,9.4377004?q=Schloss Sargans&u=30",75.0,1587731868,2020-04-24 12:37:48
"geo:47.4893769,19.0536298?q=Kahwa el Salam&u=30",75.0,1585144973,2020-03-25 14:02:53
"geo:47.486916,19.044562?q=Gellért Hill&u=30",75.0,1585144313,2020-03-25 13:51:53
"geo:47.5052599,19.0722363?q=Napfényes étterem&u=30",75.0,1585143426,2020-03-25 13:37:06
"geo:46.9122292,17.8917574?q=Tihany&u=30",75.0,1585142645,2020-03-25 13:24:05
"geo:46.9128657,17.8881952?q=Gulyás Udvar Étterem&u=30",100.0,1585141709,2020-03-25 13:08:29
"geo:47.4974858,19.0627583?q=Gettó Gulyás&u=30",75.0,1585141014,2020-03-25 12:56:54
"geo:47.4925461,19.0607007?q=Budapest Baristas&u=30",75.0,1585139374,2020-03-25 12:29:34
"geo:47.4866113,19.058951711704644?q=Great Market Hall&u=30",75.0,1585137057,2020-03-25 11:50:57
"geo:-41.1982502,-71.4862753?q=Refugio Emilio Frey&u=30",100.0,1583185908,2020-03-02 21:51:48
"geo:-34.4698592,-57.8433679?q=Colonia del Sacramento&u=30",75.0,1583185268,2020-03-02 21:41:08
"geo:-34.5940268,-58.4469043?q=Bohemios&u=30",75.0,1583084802,2020-03-01 17:46:42
"geo:-41.1350512,-71.2935964?q=La Fonda del Tío&u=30",75.0,1583084338,2020-03-01 17:38:58
"geo:-41.0757505,-71.4764209?q=Cerro Campanario&u=30",100.0,1583083927,2020-03-01 17:32:07
"geo:51.1089776,17.0326689?q=Wroclaw&u=30",75.0,1582462344,2020-02-23 12:52:24
"geo:46.414202849999995,6.9275531?q=Château de Chillon&u=30",75.0,1582461894,2020-02-23 12:44:54
"geo:51.1081974,17.0247706?q=Peruwiana&u=30",100.0,1582460766,2020-02-23 12:26:06
"geo:47.1718112,8.5137931?q=Reformierte Kirche&u=30",100.0,1582460140,2020-02-23 12:15:40
"geo:47.3869001,8.5170453?q=Maag MusicHall&u=30",75.0,1582451861,2020-02-23 09:57:41
"geo:47.0505452,8.3054682?q=Lucerne&u=30",75.0,1582381888,2020-02-22 14:31:28
"geo:47.6038321,-122.3300624?q=Seattle&u=30",75.0,1582333963,2020-02-22 01:12:43
"geo:47.2273245,8.8156345?q=Schloss Rapperswil&u=30",100.0,1582237627,2020-02-20 22:27:07
"geo:47.4133982,9.348073?q=TSO AG&u=30",100.0,1581678856,2020-02-14 11:14:16
"geo:57.0766696,24.3231405?q=Klaips&u=30",75.0,1581531000,2020-02-12 18:10:00
"geo:48.753018749999995,9.631041102509345?q=Gasthaus Löwen&u=30",75.0,1581526446,2020-02-12 16:54:06
"geo:47.4133289,8.5522166?q=Hong-Kong Food Paradise&u=30",75.0,1581513677,2020-02-12 13:21:17
"geo:47.1691576,8.514572?q=Juanitos&u=30",50.0,1581502954,2020-02-12 10:22:34
"geo:47.1671127,8.5157744?q=Juan Long&u=30",50.0,1581366058,2020-02-10 20:20:58
"geo:52.29096405,14.060294292125526?q=SaarowTherme&u=30",50.0,1581358702,2020-02-10 18:18:22
"geo:51.9262145,4.4788948?q=Restaurant De Jong&u=30",100.0,1581026378,2020-02-06 21:59:38
"geo:47.2533249,8.7800877?q=Baumgarten&u=30",50.0,1581014438,2020-02-06 18:40:38
"geo:47.0002812,8.3983246?q=Bürgenstock&u=30",75.0,1580997574,2020-02-06 13:59:34
"geo:47.1437602,8.5337843?q=Zugerberg&u=30",75.0,1580996662,2020-02-06 13:44:22
"geo:47.3807554,8.5040594?q=Brasserie Nestor&u=30",75.0,1580982708,2020-02-06 09:51:48
"geo:47.1674468,8.5149937?q=Gotthärdli&u=30",100.0,1580917391,2020-02-05 15:43:11
"geo:47.0511141,8.29512?q=Gütsch&u=30",75.0,1580915881,2020-02-05 15:18:01
